Year,Indicator Name,Value
1970,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0802
1971,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0802
1972,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0995
1973,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0674
1974,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0642
1975,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0481
1976,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0481
1977,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0642
1978,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0738
1979,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.077
1980,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.016
1981,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0193
1982,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0225
1983,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0385
1984,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.1155
1985,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0385
1986,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0353
1987,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0385
1988,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0481
1989,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0385
1990,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0674
1991,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0963
1992,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0417
1993,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0642
1994,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.1059
1995,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0578
1996,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0513
1997,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0545
1998,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.138
1999,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0863
2000,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0992
2001,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.1856
2002,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0525
2003,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0397
2004,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0844
2005,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0685
2006,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.1051
2007,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0866
2008,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.027
2009,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0379
2010,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0699
2011,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.02
2012,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0232
2013,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.0558
2014,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.2529
2015,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.1917
2016,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.5085
2017,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.2808
2018,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.2143
2019,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.1992
2020,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.2314
2021,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.2449
2022,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.2408
