Year,Indicator Name,Value
1971,Combustible renewables and waste (% of total energy),83.6084611965826
1972,Combustible renewables and waste (% of total energy),83.5540923154435
1973,Combustible renewables and waste (% of total energy),85.6696646316952
1974,Combustible renewables and waste (% of total energy),86.4738424582339
1975,Combustible renewables and waste (% of total energy),84.8365184126612
1976,Combustible renewables and waste (% of total energy),86.9438370841223
1977,Combustible renewables and waste (% of total energy),83.8371745348855
1978,Combustible renewables and waste (% of total energy),83.5409643161827
1979,Combustible renewables and waste (% of total energy),82.4157603286342
1980,Combustible renewables and waste (% of total energy),84.1826166584256
1981,Combustible renewables and waste (% of total energy),84.8807724703132
1982,Combustible renewables and waste (% of total energy),82.9920173884064
1983,Combustible renewables and waste (% of total energy),87.5453409824479
1984,Combustible renewables and waste (% of total energy),86.9013777418178
1985,Combustible renewables and waste (% of total energy),87.8866076072838
1986,Combustible renewables and waste (% of total energy),83.2179215472396
1987,Combustible renewables and waste (% of total energy),82.7910002168221
1988,Combustible renewables and waste (% of total energy),83.5688913767441
1989,Combustible renewables and waste (% of total energy),83.5995796111403
1990,Combustible renewables and waste (% of total energy),51.337038092524
1991,Combustible renewables and waste (% of total energy),51.7755782821881
1992,Combustible renewables and waste (% of total energy),52.944599023252
1993,Combustible renewables and waste (% of total energy),54.324676785394
1994,Combustible renewables and waste (% of total energy),49.4318536911534
1995,Combustible renewables and waste (% of total energy),48.6174035406728
1996,Combustible renewables and waste (% of total energy),44.9375489344741
1997,Combustible renewables and waste (% of total energy),46.7543700006066
1998,Combustible renewables and waste (% of total energy),45.079303649957
1999,Combustible renewables and waste (% of total energy),44.3869883138391
2000,Combustible renewables and waste (% of total energy),45.6252700479833
2001,Combustible renewables and waste (% of total energy),46.877041448949
2002,Combustible renewables and waste (% of total energy),46.403400822082
2003,Combustible renewables and waste (% of total energy),45.0175956601662
2004,Combustible renewables and waste (% of total energy),45.6523331272048
2005,Combustible renewables and waste (% of total energy),46.1685179118416
2006,Combustible renewables and waste (% of total energy),47.1445267967864
2007,Combustible renewables and waste (% of total energy),46.9567325655129
2008,Combustible renewables and waste (% of total energy),45.7263492140328
2009,Combustible renewables and waste (% of total energy),40.4978096271898
2010,Combustible renewables and waste (% of total energy),41.6811851674944
2011,Combustible renewables and waste (% of total energy),42.6595343335715
2012,Combustible renewables and waste (% of total energy),44.0525490250074
2013,Combustible renewables and waste (% of total energy),44.1339149109469
2014,Combustible renewables and waste (% of total energy),44.1332084819761
