Year,Indicator Name,Value
2000,Access to clean fuels and technologies for cooking (% of population),0.3
2001,Access to clean fuels and technologies for cooking (% of population),0.4
2002,Access to clean fuels and technologies for cooking (% of population),0.5
2003,Access to clean fuels and technologies for cooking (% of population),0.7
2004,Access to clean fuels and technologies for cooking (% of population),0.9
2005,Access to clean fuels and technologies for cooking (% of population),1.1
2006,Access to clean fuels and technologies for cooking (% of population),1.5
2007,Access to clean fuels and technologies for cooking (% of population),1.8
2008,Access to clean fuels and technologies for cooking (% of population),2.3
2009,Access to clean fuels and technologies for cooking (% of population),2.8
2010,Access to clean fuels and technologies for cooking (% of population),3.3
2011,Access to clean fuels and technologies for cooking (% of population),3.9
2012,Access to clean fuels and technologies for cooking (% of population),4.5
2013,Access to clean fuels and technologies for cooking (% of population),5.3
2014,Access to clean fuels and technologies for cooking (% of population),6.0
2015,Access to clean fuels and technologies for cooking (% of population),6.7
2016,Access to clean fuels and technologies for cooking (% of population),7.6
2017,Access to clean fuels and technologies for cooking (% of population),8.1
2018,Access to clean fuels and technologies for cooking (% of population),9.0
2019,Access to clean fuels and technologies for cooking (% of population),9.6
2020,Access to clean fuels and technologies for cooking (% of population),10.4
2021,Access to clean fuels and technologies for cooking (% of population),11.0
2022,Access to clean fuels and technologies for cooking (% of population),11.9
2000,"Access to clean fuels and technologies for cooking, rural (% of rural population)",0.0
2001,"Access to clean fuels and technologies for cooking, rural (% of rural population)",0.1
2002,"Access to clean fuels and technologies for cooking, rural (% of rural population)",0.1
2003,"Access to clean fuels and technologies for cooking, rural (% of rural population)",0.1
2004,"Access to clean fuels and technologies for cooking, rural (% of rural population)",0.2
2005,"Access to clean fuels and technologies for cooking, rural (% of rural population)",0.2
2006,"Access to clean fuels and technologies for cooking, rural (% of rural population)",0.3
2007,"Access to clean fuels and technologies for cooking, rural (% of rural population)",0.3
2008,"Access to clean fuels and technologies for cooking, rural (% of rural population)",0.4
2009,"Access to clean fuels and technologies for cooking, rural (% of rural population)",0.4
