KPI,Valeur,Annee
Acces electricite - national (%),57.2,2022
Acces electricite - urbain (%),96.5,2022
Acces electricite - rural (%),25.0,2022
Ecart electrification ville - campagne (points),71.5,2022
Cuisson au bois (% menages),51.8,2017
Cuisson au charbon (% menages),37.6,2017
Cuisson au gaz/LPG (% menages),8.8,2017
Acces combustibles propres - national (%),11.9,2022
Superficie forestiere (% du territoire),22.2,2021
Energies renouvelables (% conso finale),75.1,2021
"Emissions GES - secteur Agriculture, Foresterie et autres Affectations des Terres (AFAT) (part du total, %)",87.7,2018
"Emissions GES - secteur Energie (part du total, %)",6.2,2018
"Emissions GES - secteur Procédés Industriels et Utilisation des Produits (PIUP) (part du total, %)",6.1,2018
"Emissions GES - secteur Déchets (part du total, %)",0.0,2018
Temperature max moyenne la plus elevee : Mango,35.5,2013-2019
Temperature max moyenne la plus basse : Kouma konda,29.1,2013-2019
